"Correlation matrix (Pearson):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variables","n","m","parallel_edges","m_unique","avg_degree","avg_degree_centrality","avg_in_degree_centrality","avg_out_degree_centrality","max_degree","max_degree_centrality","max_in_degree","max_in_degree_centrality","max_out_degree","max_out_degree_centrality","h_index_d","h_index_u","fill","fill_overall","reciprocity","max_pagerank","pseudo_diameter","powerlaw_exponent_degree","powerlaw_exponent_degree_dmin","powerlaw_exponent_in_degree","powerlaw_exponent_in_degree_dmin","stddev_in_degree","stddev_out_degree","coefficient_variation_in_degree","coefficient_variation_out_degree","var_in_degree","var_out_degree","centralization_in_degree","centralization_out_degree"
"n",1,"0,855","0,318","0,903","0,012","-0,064","-0,064","-0,064","0,707","-0,033","0,676","-0,030","0,634","-0,025","0,810","0,719","-0,070","-0,064","-0,011","-0,025","-0,078","-0,072","0,042","-0,041","0,021","0,400","0,322","0,735","0,493","0,154","0,212","-0,030","-0,024"
"m","0,855",1,"0,638","0,931","0,358","-0,069","-0,069","-0,069","0,820","0,232","0,794","0,241","0,667","0,049","0,907","0,896","-0,075","-0,069","-0,009","-0,030","-0,084","-0,068","0,195","-0,046","0,109","0,740","0,508","0,690","0,452","0,533","0,456","0,242","0,050"
"parallel_edges","0,318","0,638",1,"0,314","0,592","-0,038","-0,038","-0,038","0,675","0,561","0,669","0,576","0,514","0,201","0,532","0,727","-0,041","-0,038","-0,012","-0,020","-0,045","-0,049","0,135","-0,026","0,043","0,809","0,709","0,339","0,270","0,901","0,775","0,576","0,201"
"m_unique","0,903","0,931","0,314",1,"0,162","-0,067","-0,067","-0,067","0,692","0,020","0,663","0,025","0,580","-0,034","0,867","0,762","-0,073","-0,068","-0,006","-0,027","-0,082","-0,061","0,177","-0,045","0,114","0,530","0,291","0,691","0,429","0,232","0,196","0,026","-0,033"
"avg_degree","0,012","0,358","0,592","0,162",1,"-0,078","-0,078","-0,078","0,375","0,806","0,380","0,835","0,212","0,128","0,352","0,480","-0,103","-0,078","0,060","-0,048","0,295","-0,064","0,301","-0,116","0,206","0,675","0,441","0,105","0,014","0,687","0,493","0,835","0,128"
"avg_degree_centrality","-0,064","-0,069","-0,038","-0,067","-0,078",1,"1,000","1,000","-0,060","0,135","-0,059","-0,047","-0,035","0,589","-0,122","-0,115","0,946","1,000","-0,103","-0,033","-0,061","-0,067","-0,028","0,074","-0,023","-0,093","-0,059","-0,131","-0,071","-0,032","-0,031","-0,053","0,583"
"avg_in_degree_centrality","-0,064","-0,069","-0,038","-0,067","-0,078","1,000",1,"1,000","-0,060","0,135","-0,059","-0,047","-0,035","0,589","-0,122","-0,115","0,946","1,000","-0,103","-0,033","-0,061","-0,067","-0,028","0,074","-0,023","-0,093","-0,059","-0,131","-0,071","-0,032","-0,031","-0,053","0,583"
"avg_out_degree_centrality","-0,064","-0,069","-0,038","-0,067","-0,078","1,000","1,000",1,"-0,060","0,135","-0,059","-0,047","-0,035","0,589","-0,122","-0,115","0,946","1,000","-0,103","-0,033","-0,061","-0,067","-0,028","0,074","-0,023","-0,093","-0,059","-0,131","-0,071","-0,032","-0,031","-0,053","0,583"
"max_degree","0,707","0,820","0,675","0,692","0,375","-0,060","-0,060","-0,060",1,"0,363","0,998","0,377","0,455","0,079","0,764","0,831","-0,065","-0,060","-0,030","-0,009","-0,072","-0,053","0,158","-0,038","0,081","0,813","0,491","0,830","0,320","0,658","0,482","0,377","0,079"
"max_degree_centrality","-0,033","0,232","0,561","0,020","0,806","0,135","0,135","0,135","0,363",1,"0,370","0,959","0,184","0,342","0,206","0,364","0,053","0,135","-0,052","0,125","0,236","-0,006","0,166","-0,041","0,116","0,588","0,404","0,134","-0,008","0,654","0,479","0,957","0,343"
"max_in_degree","0,676","0,794","0,669","0,663","0,380","-0,059","-0,059","-0,059","0,998","0,370",1,"0,384","0,406","0,076","0,744","0,816","-0,065","-0,060","-0,031","-0,008","-0,071","-0,052","0,160","-0,037","0,083","0,817","0,467","0,830","0,281","0,665","0,465","0,385","0,076"
"max_in_degree_centrality","-0,030","0,241","0,576","0,025","0,835","-0,047","-0,047","-0,047","0,377","0,959","0,384",1,"0,181","0,114","0,219","0,379","-0,078","-0,046","-0,068","0,130","0,254","0,002","0,173","-0,080","0,121","0,611","0,398","0,151","-0,024","0,673","0,483","1,000","0,113"
"max_out_degree","0,634","0,667","0,514","0,580","0,212","-0,035","-0,035","-0,035","0,455","0,184","0,406","0,181",1,"0,159","0,540","0,578","-0,038","-0,035","-0,004","-0,022","-0,043","-0,043","0,037","-0,024","0,000","0,388","0,785","0,315","0,821","0,356","0,705","0,182","0,159"
"max_out_degree_centrality","-0,025","0,049","0,201","-0,034","0,128","0,589","0,589","0,589","0,079","0,342","0,076","0,114","0,159",1,"-0,001","0,073","0,405","0,587","-0,004","-0,007","-0,133","0,034","-0,002","0,114","-0,022","0,124","0,345","-0,039","0,235","0,196","0,278","0,110","1,000"
"h_index_d","0,810","0,907","0,532","0,867","0,352","-0,122","-0,122","-0,122","0,764","0,206","0,744","0,219","0,540","-0,001",1,"0,953","-0,133","-0,123","0,007","-0,045","-0,090","-0,084","0,238","-0,082","0,155","0,726","0,439","0,743","0,387","0,451","0,387","0,220","0,001"
"h_index_u","0,719","0,896","0,727","0,762","0,480","-0,115","-0,115","-0,115","0,831","0,364","0,816","0,379","0,578","0,073","0,953",1,"-0,125","-0,115","0,003","-0,042","-0,094","-0,086","0,233","-0,069","0,129","0,846","0,588","0,700","0,384","0,672","0,567","0,380","0,074"
"fill","-0,070","-0,075","-0,041","-0,073","-0,103","0,946","0,946","0,946","-0,065","0,053","-0,065","-0,078","-0,038","0,405","-0,133","-0,125",1,"0,946","-0,108","-0,038","-0,060","-0,074","-0,031","0,036","-0,026","-0,101","-0,067","-0,143","-0,080","-0,035","-0,034","-0,084","0,397"
"fill_overall","-0,064","-0,069","-0,038","-0,068","-0,078","1,000","1,000","1,000","-0,060","0,135","-0,060","-0,046","-0,035","0,587","-0,123","-0,115","0,946",1,"-0,103","-0,033","-0,062","-0,067","-0,028","0,074","-0,024","-0,094","-0,059","-0,132","-0,072","-0,032","-0,031","-0,053","0,582"
"reciprocity","-0,011","-0,009","-0,012","-0,006","0,060","-0,103","-0,103","-0,103","-0,030","-0,052","-0,031","-0,068","-0,004","-0,004","0,007","0,003","-0,108","-0,103",1,"-0,015","-0,037","-0,119","-0,032","-0,067","-0,031","-0,031","0,001","-0,047","-0,017","-0,036","-0,010","-0,068","-0,003"
"max_pagerank","-0,025","-0,030","-0,020","-0,027","-0,048","-0,033","-0,033","-0,033","-0,009","0,125","-0,008","0,130","-0,022","-0,007","-0,045","-0,042","-0,038","-0,033","-0,015",1,"-0,012","0,290","-0,013","-0,004","-0,002","-0,002","-0,015","0,107","-0,022","-0,014","-0,018","0,130","-0,006"
"pseudo_diameter","-0,078","-0,084","-0,045","-0,082","0,295","-0,061","-0,061","-0,061","-0,072","0,236","-0,071","0,254","-0,043","-0,133","-0,090","-0,094","-0,060","-0,062","-0,037","-0,012",1,"-0,081","-0,033","-0,067","-0,028","-0,083","-0,078","-0,134","-0,106","-0,038","-0,038","0,254","-0,132"
"powerlaw_exponent_degree","-0,072","-0,068","-0,049","-0,061","-0,064","-0,067","-0,067","-0,067","-0,053","-0,006","-0,052","0,002","-0,043","0,034","-0,084","-0,086","-0,074","-0,067","-0,119","0,290","-0,081",1,"-0,039","0,170","-0,019","-0,011","-0,031","-0,008","-0,006","-0,024","-0,038","0,002","0,035"
"powerlaw_exponent_degree_dmin","0,042","0,195","0,135","0,177","0,301","-0,028","-0,028","-0,028","0,158","0,166","0,160","0,173","0,037","-0,002","0,238","0,233","-0,031","-0,028","-0,032","-0,013","-0,033","-0,039",1,"-0,021","0,961","0,366","0,073","0,140","-0,005","0,246","0,088","0,173","-0,001"
"powerlaw_exponent_in_degree","-0,041","-0,046","-0,026","-0,045","-0,116","0,074","0,074","0,074","-0,038","-0,041","-0,037","-0,080","-0,024","0,114","-0,082","-0,069","0,036","0,074","-0,067","-0,004","-0,067","0,170","-0,021",1,"-0,018","-0,035","-0,017","-0,001","0,005","-0,021","-0,021","-0,081","0,116"
"powerlaw_exponent_in_degree_dmin","0,021","0,109","0,043","0,114","0,206","-0,023","-0,023","-0,023","0,081","0,116","0,083","0,121","0,000","-0,022","0,155","0,129","-0,026","-0,024","-0,031","-0,002","-0,028","-0,019","0,961","-0,018",1,"0,251","0,003","0,108","-0,019","0,125","0,011","0,121","-0,022"
"stddev_in_degree","0,400","0,740","0,809","0,530","0,675","-0,093","-0,093","-0,093","0,813","0,588","0,817","0,611","0,388","0,124","0,726","0,846","-0,101","-0,094","-0,031","-0,002","-0,083","-0,011","0,366","-0,035","0,251",1,"0,596","0,632","0,234","0,875","0,631","0,611","0,124"
"stddev_out_degree","0,322","0,508","0,709","0,291","0,441","-0,059","-0,059","-0,059","0,491","0,404","0,467","0,398","0,785","0,345","0,439","0,588","-0,067","-0,059","0,001","-0,015","-0,078","-0,031","0,073","-0,017","0,003","0,596",1,"0,296","0,779","0,633","0,944","0,399","0,345"
"coefficient_variation_in_degree","0,735","0,690","0,339","0,691","0,105","-0,131","-0,131","-0,131","0,830","0,134","0,830","0,151","0,315","-0,039","0,743","0,700","-0,143","-0,132","-0,047","0,107","-0,134","-0,008","0,140","-0,001","0,108","0,632","0,296",1,"0,364","0,294","0,217","0,151","-0,037"
"coefficient_variation_out_degree","0,493","0,452","0,270","0,429","0,014","-0,071","-0,071","-0,071","0,320","-0,008","0,281","-0,024","0,821","0,235","0,387","0,384","-0,080","-0,072","-0,017","-0,022","-0,106","-0,006","-0,005","0,005","-0,019","0,234","0,779","0,364",1,"0,117","0,617","-0,024","0,235"
"var_in_degree","0,154","0,533","0,901","0,232","0,687","-0,032","-0,032","-0,032","0,658","0,654","0,665","0,673","0,356","0,196","0,451","0,672","-0,035","-0,032","-0,036","-0,014","-0,038","-0,024","0,246","-0,021","0,125","0,875","0,633","0,294","0,117",1,"0,732","0,673","0,195"
"var_out_degree","0,212","0,456","0,775","0,196","0,493","-0,031","-0,031","-0,031","0,482","0,479","0,465","0,483","0,705","0,278","0,387","0,567","-0,034","-0,031","-0,010","-0,018","-0,038","-0,038","0,088","-0,021","0,011","0,631","0,944","0,217","0,617","0,732",1,"0,483","0,277"
"centralization_in_degree","-0,030","0,242","0,576","0,026","0,835","-0,053","-0,053","-0,053","0,377","0,957","0,385","1,000","0,182","0,110","0,220","0,380","-0,084","-0,053","-0,068","0,130","0,254","0,002","0,173","-0,081","0,121","0,611","0,399","0,151","-0,024","0,673","0,483",1,"0,109"
"centralization_out_degree","-0,024","0,050","0,201","-0,033","0,128","0,583","0,583","0,583","0,079","0,343","0,076","0,113","0,159","1,000","0,001","0,074","0,397","0,582","-0,003","-0,006","-0,132","0,035","-0,001","0,116","-0,022","0,124","0,345","-0,037","0,235","0,195","0,277","0,109",1
"Values in bold are different from 0 with a significance level alpha=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"p-values (Pearson):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Variables","n","m","parallel_edges","m_unique","avg_degree","avg_degree_centrality","avg_in_degree_centrality","avg_out_degree_centrality","max_degree","max_degree_centrality","max_in_degree","max_in_degree_centrality","max_out_degree","max_out_degree_centrality","h_index_d","h_index_u","fill","fill_overall","reciprocity","max_pagerank","pseudo_diameter","powerlaw_exponent_degree","powerlaw_exponent_degree_dmin","powerlaw_exponent_in_degree","powerlaw_exponent_in_degree_dmin","stddev_in_degree","stddev_out_degree","coefficient_variation_in_degree","coefficient_variation_out_degree","var_in_degree","var_out_degree","centralization_in_degree","centralization_out_degree"
"n",0,"< 0,0001","< 0,0001","< 0,0001","0,841","0,293","0,293","0,293","< 0,0001","0,586","< 0,0001","0,621","< 0,0001","0,679","< 0,0001","< 0,0001","0,251","0,291","0,853","0,681","0,198","0,238","0,486","0,504","0,734","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,011","0,000","0,625","0,689"
"m","< 0,0001",0,"< 0,0001","< 0,0001","< 0,0001","0,254","0,254","0,254","< 0,0001","0,000","< 0,0001","< 0,0001","< 0,0001","0,416","< 0,0001","< 0,0001","0,213","0,252","0,879","0,619","0,167","0,261","0,001","0,445","0,072","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,410"
"parallel_edges","< 0,0001","< 0,0001",0,"< 0,0001","< 0,0001","0,532","0,532","0,532","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,001","< 0,0001","< 0,0001","0,495","0,530","0,840","0,736","0,454","0,423","0,025","0,666","0,481","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,001"
"m_unique","< 0,0001","< 0,0001","< 0,0001",0,"0,007","0,267","0,267","0,267","< 0,0001","0,736","< 0,0001","0,675","< 0,0001","0,573","< 0,0001","< 0,0001","0,225","0,264","0,926","0,651","0,178","0,313","0,003","0,461","0,060","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,000","0,001","0,670","0,583"
"avg_degree","0,841","< 0,0001","< 0,0001","0,007",0,"0,196","0,196","0,196","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,000","0,034","< 0,0001","< 0,0001","0,088","0,197","0,322","0,433","< 0,0001","0,291","< 0,0001","0,056","0,001","< 0,0001","< 0,0001","0,084","0,814","< 0,0001","< 0,0001","< 0,0001","0,034"
"avg_degree_centrality","0,293","0,254","0,532","0,267","0,196",0,"< 0,0001","< 0,0001","0,323","0,025","0,328","0,438","0,562","< 0,0001","0,044","0,058","< 0,0001","< 0,0001","0,089","0,587","0,311","0,272","0,643","0,220","0,699","0,124","0,331","0,030","0,239","0,596","0,607","0,380","< 0,0001"
"avg_in_degree_centrality","0,293","0,254","0,532","0,267","0,196","< 0,0001",0,"< 0,0001","0,323","0,025","0,328","0,438","0,562","< 0,0001","0,044","0,058","< 0,0001","< 0,0001","0,089","0,587","0,311","0,272","0,643","0,220","0,699","0,124","0,331","0,030","0,239","0,596","0,607","0,380","< 0,0001"
"avg_out_degree_centrality","0,293","0,254","0,532","0,267","0,196","< 0,0001","< 0,0001",0,"0,323","0,025","0,328","0,438","0,562","< 0,0001","0,044","0,058","< 0,0001","< 0,0001","0,089","0,587","0,311","0,272","0,643","0,220","0,699","0,124","0,331","0,030","0,239","0,596","0,607","0,380","< 0,0001"
"max_degree","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,323","0,323","0,323",0,"< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,195","< 0,0001","< 0,0001","0,280","0,320","0,624","0,884","0,236","0,384","0,009","0,533","0,179","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,192"
"max_degree_centrality","0,586","0,000","< 0,0001","0,736","< 0,0001","0,025","0,025","0,025","< 0,0001",0,"< 0,0001","< 0,0001","0,002","< 0,0001","0,001","< 0,0001","0,386","0,026","0,388","0,039","< 0,0001","0,917","0,006","0,498","0,055","< 0,0001","< 0,0001","0,026","0,889","< 0,0001","< 0,0001","< 0,0001","< 0,0001"
"max_in_degree","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,328","0,328","0,328","< 0,0001","< 0,0001",0,"< 0,0001","< 0,0001","0,211","< 0,0001","< 0,0001","0,285","0,325","0,611","0,897","0,242","0,394","0,008","0,539","0,173","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,209"
"max_in_degree_centrality","0,621","< 0,0001","< 0,0001","0,675","< 0,0001","0,438","0,438","0,438","< 0,0001","< 0,0001","< 0,0001",0,"0,003","0,061","0,000","< 0,0001","0,198","0,444","0,260","0,032","< 0,0001","0,974","0,004","0,184","0,045","< 0,0001","< 0,0001","0,012","0,688","< 0,0001","< 0,0001","< 0,0001","0,062"
"max_out_degree","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,000","0,562","0,562","0,562","< 0,0001","0,002","< 0,0001","0,003",0,"0,008","< 0,0001","< 0,0001","0,526","0,560","0,948","0,719","0,475","0,474","0,537","0,691","0,998","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,003","0,008"
"max_out_degree_centrality","0,679","0,416","0,001","0,573","0,034","< 0,0001","< 0,0001","< 0,0001","0,195","< 0,0001","0,211","0,061","0,008",0,"0,991","0,226","< 0,0001","< 0,0001","0,944","0,912","0,028","0,572","0,977","0,059","0,711","0,041","< 0,0001","0,521","< 0,0001","0,001","< 0,0001","0,070","< 0,0001"
"h_index_d","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,044","0,044","0,044","< 0,0001","0,001","< 0,0001","0,000","< 0,0001","0,991",0,"< 0,0001","0,028","0,043","0,907","0,460","0,136","0,165","< 0,0001","0,178","0,010","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","< 0,0001","0,000","0,990"
